Wash Solution for Diagnostic Analyzers
Cleaning Solution for Diagnostic Analyzers
Controls for Diagnostic Analyzers
Immunoassay Analyzer (V2)
Breath Analyser
Haematology Analyzer Reagents (V2)
Automatic Fiber Analyzer
Biochemistry Analyzer (Semi-Automated)
Electrolyte Analyzer
Body Composition Analyzer
5 Part Automated Hematology Analyser (V2)
Veterinary Hematology Analyzer (V2)
Veterinary Biochemistry Analyzer (V2)
Fully Automatic Biochemistry Analyzer (V2)
Calibrators for Diagnostic Analyzers
3 Part Automated Hematology Analyzer (V2)
Semi Automated Urine Analyzer
Fully Automated Urine Analyzer
Fully Automated Coagulation Analyzer (V2)
Semi Automated Coagulation Analyzer (V2)
ESR Analyzer (V2)
Fully Automated Immunohematology Analyzer
Fully Automated Dry Chemistry Analyzer
6 Part Automated Hematology Analyzer
Automatic Protein Analyzer (As per FSSAI Requirement)
Automatic Fat Analyzer (FSSAI)
Automatic Fiber Analyzer (FSSAI)
Hba1c/hemoglobinopathy Analyzer
